global_index,batch,batch_index,image_path,label,angle_degrees,original_source,notes
301,batch_004,1,images/batch_004_001.jpg,head_left,48.716290,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002040/BEE24-35_001886_det10_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.989586; left_prob=0.989586; right_prob=0.010414; quality=0.996072; mean_gray=121.01; std_gray=47.49; mean_sat=86.06; area=0.2197
302,batch_004,2,images/batch_004_002.jpg,head_left,71.444092,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002127/BEE24-35_003679_det10_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.987642; left_prob=0.987642; right_prob=0.012358; quality=0.991998; mean_gray=117.01; std_gray=49.42; mean_sat=99.56; area=0.2317
303,batch_004,3,images/batch_004_003.jpg,head_left,64.839104,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/001991/BEE24-35_000748_det10_tr0001.jpg,auto_high_conf_binary_resnet_clear; confidence=0.999328; left_prob=0.999328; right_prob=0.000673; quality=0.975476; mean_gray=119.00; std_gray=45.87; mean_sat=87.34; area=0.2332
304,batch_004,4,images/batch_004_004.jpg,head_left,113.002457,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/001992/BEE24-35_000801_det08_tr0008.jpg,auto_high_conf_binary_resnet_clear; confidence=0.988366; left_prob=0.988366; right_prob=0.011634; quality=0.977461; mean_gray=109.63; std_gray=49.38; mean_sat=103.28; area=0.2359
305,batch_004,5,images/batch_004_005.jpg,head_left,19.736761,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/001996/BEE24-35_000864_det09_tr0010.jpg,auto_high_conf_binary_resnet_clear; confidence=0.995939; left_prob=0.995939; right_prob=0.004061; quality=0.965186; mean_gray=128.49; std_gray=52.98; mean_sat=75.19; area=0.2490
306,batch_004,6,images/batch_004_006.jpg,head_left,93.229439,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002042/BEE24-35_001904_det09_tr0000.jpg,auto_high_conf_binary_resnet_clear; confidence=0.996567; left_prob=0.996567; right_prob=0.003433; quality=0.962441; mean_gray=107.94; std_gray=48.47; mean_sat=88.33; area=0.2526
307,batch_004,7,images/batch_004_007.jpg,head_left,80.293839,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002086/BEE24-35_002861_det09_tr0001.jpg,auto_high_conf_binary_resnet_clear; confidence=0.992677; left_prob=0.992677; right_prob=0.007323; quality=0.966520; mean_gray=106.35; std_gray=46.92; mean_sat=100.84; area=0.2300
308,batch_004,8,images/batch_004_008.jpg,head_left,45.693237,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002107/BEE24-35_003263_det09_tr0008.jpg,auto_high_conf_binary_resnet_clear; confidence=0.988271; left_prob=0.988271; right_prob=0.011729; quality=0.964296; mean_gray=129.21; std_gray=54.38; mean_sat=82.14; area=0.2724
309,batch_004,9,images/batch_004_009.jpg,head_left,52.471973,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002183/BEE24-35_004689_det09_tr0007.jpg,auto_high_conf_binary_resnet_clear; confidence=0.985921; left_prob=0.985921; right_prob=0.014079; quality=0.964388; mean_gray=115.52; std_gray=47.85; mean_sat=77.34; area=0.2584
310,batch_004,10,images/batch_004_010.jpg,head_left,48.269482,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/001999/BEE24-35_000954_det10_tr0011.jpg,auto_high_conf_binary_resnet_clear; confidence=0.992974; left_prob=0.992974; right_prob=0.007026; quality=0.952687; mean_gray=118.18; std_gray=52.73; mean_sat=95.57; area=0.2894
311,batch_004,11,images/batch_004_011.jpg,head_left,59.520710,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002169/BEE24-35_004383_det09_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.979196; left_prob=0.979196; right_prob=0.020804; quality=0.960879; mean_gray=112.69; std_gray=45.52; mean_sat=111.08; area=0.1965
312,batch_004,12,images/batch_004_012.jpg,head_left,65.894913,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002164/BEE24-35_004272_det09_tr0007.jpg,auto_high_conf_binary_resnet_clear; confidence=0.990631; left_prob=0.990631; right_prob=0.009369; quality=0.945792; mean_gray=99.86; std_gray=47.48; mean_sat=94.42; area=0.2457
313,batch_004,13,images/batch_004_013.jpg,head_left,53.725433,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002036/BEE24-35_001822_det09_tr0007.jpg,auto_high_conf_binary_resnet_clear; confidence=0.976578; left_prob=0.976578; right_prob=0.023422; quality=0.961420; mean_gray=111.14; std_gray=50.16; mean_sat=102.23; area=0.2643
314,batch_004,14,images/batch_004_014.jpg,head_left,71.636414,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002161/BEE24-35_004241_det07_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.996113; left_prob=0.996113; right_prob=0.003887; quality=0.937346; mean_gray=100.72; std_gray=46.19; mean_sat=92.13; area=0.2470
315,batch_004,15,images/batch_004_015.jpg,head_left,87.659058,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002016/BEE24-35_001331_det08_tr0007.jpg,auto_high_conf_binary_resnet_clear; confidence=0.993867; left_prob=0.993867; right_prob=0.006133; quality=0.939044; mean_gray=114.18; std_gray=46.64; mean_sat=91.18; area=0.2923
316,batch_004,16,images/batch_004_016.jpg,head_left,88.592056,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002153/BEE24-35_004125_det09_tr0016.jpg,auto_high_conf_binary_resnet_clear; confidence=0.999494; left_prob=0.999494; right_prob=0.000506; quality=0.929601; mean_gray=91.88; std_gray=47.65; mean_sat=100.29; area=0.2458
317,batch_004,17,images/batch_004_017.jpg,head_left,52.172546,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002108/BEE24-35_003278_det09_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.982043; left_prob=0.982043; right_prob=0.017957; quality=0.947139; mean_gray=95.75; std_gray=51.39; mean_sat=106.37; area=0.2361
318,batch_004,18,images/batch_004_018.jpg,head_left,60.428612,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002029/BEE24-35_001570_det11_tr0003.jpg,auto_high_conf_binary_resnet_clear; confidence=0.989654; left_prob=0.989654; right_prob=0.010346; quality=0.935779; mean_gray=110.20; std_gray=55.32; mean_sat=92.43; area=0.2989
319,batch_004,19,images/batch_004_019.jpg,head_left,43.891186,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002166/BEE24-35_004358_det08_tr0013.jpg,auto_high_conf_binary_resnet_clear; confidence=0.977588; left_prob=0.977588; right_prob=0.022412; quality=0.948867; mean_gray=110.87; std_gray=50.61; mean_sat=99.13; area=0.2818
320,batch_004,20,images/batch_004_020.jpg,head_left,100.786667,/root/autodl-tmp/bee_track/deep_sort_pytorch/deep_sort/deep/data/train_20260501_sam_mask_soft_v2/002116/BEE24-35_003413_det11_tr0007.jpg,auto_high_conf_binary_resnet_clear; confidence=0.965653; left_prob=0.965653; right_prob=0.034347; quality=0.963099; mean_gray=108.16; std_gray=49.23; mean_sat=124.45; area=0.2523
